,Municipality,Place Name,Suburb,Latitude,Longitude,Sports Played,Number of Field Courts,Field Surface Type,Facility Condition,Changerooms,Address,Facility Name,Categories,Historical Information,Url
1187,Yarra Ranges Shire Council,Monbulk Reserve,Monbulk,-37.874626,145.410421,Australian Rules Football,1.0,Grass,3. Average,"Male, Umpire/Officials",Moores Road Monbulk 3793,,"['Yarra Ranges Shire Council', 'Monbulk', 'Sports', 'Football']",,
1188,Yarra Ranges Shire Council,Montrose Recreation Reserve,Montrose,-37.812836,145.344302,Australian Rules Football,1.0,Grass,5. Very Good,"Male, Umpire/Officials",Mt Dandenong Tourist Road Montrose 3765,,"['Yarra Ranges Shire Council', 'Montrose', 'Sports', 'Football']",,
1189,Yarra Ranges Shire Council,Mooroolbark Heights Reserve,Mooroolbark,-37.792791,145.325746,Australian Rules Football,1.0,Grass,4. Good,"Male, Umpire/Officials",Longfellow Avenue Mooroolbark 3138,,"['Yarra Ranges Shire Council', 'Mooroolbark', 'Sports', 'Football']",,
1190,Yarra Ranges Shire Council,Mount Evelyn Recreation Reserve,Mount Evelyn,-37.795524,145.382252,Australian Rules Football,1.0,Grass,3. Average,"Male, Umpire/Officials",Tramway Road Mount Evelyn 3796,,"['Yarra Ranges Shire Council', 'Mount Evelyn', 'Sports', 'Football']",,
1191,Yarra Ranges Shire Council,Mt Lilydale Sports Ovals,Lilydale,-37.744799,145.360513,Australian Rules Football,1.0,Grass,,,Quarry Road Lilydale 3140,,"['Yarra Ranges Shire Council', 'Lilydale', 'Sports', 'Football']",,
1192,Yarra Ranges Shire Council,Narre Warren East Reserve,Narre Warren East,-37.963527,145.361633,Australian Rules Football,1.0,Grass,3. Average,"Male, Umpire/Officials",Berwick Road Narre Warren East 3804,,"['Yarra Ranges Shire Council', 'Narre Warren East', 'Sports', 'Football']",,
1193,Yarra Ranges Shire Council,Olinda Recreation Reserve,Olinda,-37.85355300000000,145.369756,Australian Rules Football,1.0,Grass,2. Poor,"Male, Umpire/Officials",The Georgian Road Olinda 3788,,"['Yarra Ranges Shire Council', 'Olinda', 'Sports', 'Football']",,
1194,Yarra Ranges Shire Council,Pinks Reserve,Kilsyth,-37.813485,145.31925900000000,Australian Rules Football,2.0,Grass,3. Average,"Male, Umpire/Officials",Liverpool Road Kilsyth 3137,,"['Yarra Ranges Shire Council', 'Kilsyth', 'Sports', 'Football']",,
1195,Yarra Ranges Shire Council,Powelltown Reserve,Powelltown,-37.86443,145.747704,Australian Rules Football,1.0,Grass,3. Average,"Male, Umpire/Officials",Recreation Road Powelltown 3797,,"['Yarra Ranges Shire Council', 'Powelltown', 'Sports', 'Football']",,
1196,Yarra Ranges Shire Council,Queens Park,Healesville,-37.653742,145.523121,Australian Rules Football,1.0,Grass,3. Average,"Male, Umpire/Officials",Don Road Healesville 3777,,"['Yarra Ranges Shire Council', 'Healesville', 'Sports', 'Football']",,
1197,Yarra Ranges Shire Council,Seville Recreation Reserve,Seville,-37.780141,145.461873,Australian Rules Football,2.0,Grass,3. Average,"Male, Umpire/Officials",Monbulk-Seville Road Seville 3139,,"['Yarra Ranges Shire Council', 'Seville', 'Sports', 'Football']",,
1198,Yarra Ranges Shire Council,Silvan Recreation Reserve,Silvan,-37.830727,145.42832100000000,Australian Rules Football,1.0,Grass,4. Good,"Male, Umpire/Officials",Silvan Road Silvan 3795,,"['Yarra Ranges Shire Council', 'Silvan', 'Sports', 'Football']",,
1199,Yarra Ranges Shire Council,Upwey Reserve,Upwey,-37.9031,145.336971,Australian Rules Football,2.0,Grass,2. Poor,"Male, Umpire/Officials",Chosen Avenue Upwey 3158,,"['Yarra Ranges Shire Council', 'Upwey', 'Sports', 'Football']",,
1200,Yarra Ranges Shire Council,Wandin East Recreation ReserveÂ ,Wandin East,-37.815309,145.45853300000000,Australian Rules Football,,Grass,4. Good,Unisex,Monbulk-Seville Road Wandin East 3139,,"['Yarra Ranges Shire Council', 'Wandin East', 'Sports', 'Football']",,
1201,Yarra Ranges Shire Council,Wandin North Reserve,Wandin North,-37.78247,145.430298,Australian Rules Football,1.0,Grass,3. Average,"Male, Umpire/Officials",Clegg Road Wandin North 3139,,"['Yarra Ranges Shire Council', 'Wandin North', 'Sports', 'Football']",,
1202,Yarra Ranges Shire Council,Warburton Recreation Reserve,Warburton,-37.751502,145.695114,Australian Rules Football,1.0,Grass,4. Good,"Male, Umpire/Officials",Warburton Hwy Warburton 3799,,"['Yarra Ranges Shire Council', 'Warburton', 'Sports', 'Football']",,
1203,Yarra Ranges Shire Council,Wesburn Recreation Reserve,Wesburn,-37.772282,145.648259,Australian Rules Football,2.0,Grass,3. Average,"Male, Umpire/Officials",Old Warburton Road Wesburn 3799,,"['Yarra Ranges Shire Council', 'Wesburn', 'Sports', 'Football']",,
1204,Yarra Ranges Shire Council,Wickams Road Reserve,Lauching Place,-37.788208,145.570748,Australian Rules Football,1.0,Grass,3. Average,"Male, Umpire/Officials",Wickhams Road Lauching Place 3139,,"['Yarra Ranges Shire Council', 'Lauching Place', 'Sports', 'Football']",,
1205,Yarra Ranges Shire Council,Woori Yallock Reserve,Woori Yallock,-37.783371,145.53274,Australian Rules Football,1.0,Grass,4. Good,"Male, Umpire/Officials",Shevlins Lane Woori Yallock 3139,,"['Yarra Ranges Shire Council', 'Woori Yallock', 'Sports', 'Football']",,
1206,Yarra Ranges Shire Council,Yarra Glen Recreation Reserve,Yarra Glen,-37.660307,145.382561,Australian Rules Football,1.0,Grass,3. Average,"Male, Umpire/Officials",Melba Hwy Yarra Glen 3775,,"['Yarra Ranges Shire Council', 'Yarra Glen', 'Sports', 'Football']",,
1207,Yarra Ranges Shire Council,Yarra Junction Recreation Reserve,Yarra Junction,-37.780469,145.612006,Australian Rules Football,1.0,Grass,4. Good,"Male, Umpire/Officials",Park Road Yarra Junction 3797,,"['Yarra Ranges Shire Council', 'Yarra Junction', 'Sports', 'Football']",,
1208,Yarra Ranges Shire Council,Kilsyth Sports Centre,Kilsyth,-37.813485,145.31925900000000,Badminton,6.0,Wooden Flooring,4. Good,"Female, Male",95 Liverpool Road Kilsyth 3137,,"['Yarra Ranges Shire Council', 'Kilsyth', 'Sports', 'Badminton']",,
1209,Yarra Ranges Shire Council,Eastfield BMX Club,Kilsyth,-37.812005,145.306839,BMX,,,,,Colchester Road Kilsyth,,"['Yarra Ranges Shire Council', 'Kilsyth', 'Sports']",,
1210,Yarra Ranges Shire Council,Healesville Skate & BMX,Healesville,-37.652216,145.523707,BMX,1.0,,3. Average,,36 Don Road Healesville 3777,,"['Yarra Ranges Shire Council', 'Healesville', 'Sports']",,
1211,Yarra Ranges Shire Council,Monbulk Skate & BMX,Monbulk,-37.875989,145.409214,BMX,1.0,Dirt,3. Average,,Moores Road Monbulk 3793,,"['Yarra Ranges Shire Council', 'Monbulk', 'Sports']",,
1212,Yarra Ranges Shire Council,Baynes Reserve,Monbulk,-37.876185,145.401865,Cricket,1.0,Synthetic Pitch,2. Poor,,Baynes Park Road Monbulk 3793,,"['Yarra Ranges Shire Council', 'Monbulk', 'Sports', 'Cricket']",,
1213,Yarra Ranges Shire Council,Ernest Lloyd Reserve,Gladysdale,-37.815685,145.646885,Cricket,1.0,Synthetic Pitch,2. Poor,,Little Yarra Road Gladysdale 3797,,"['Yarra Ranges Shire Council', 'Gladysdale', 'Sports', 'Cricket']",,
1214,Yarra Ranges Shire Council,Ferny Creek Reserve,Ferny Creek,-37.875346,145.345796,Cricket,1.0,Concrete Pitch,,,Clarkmont Road Ferny Creek 3786,,"['Yarra Ranges Shire Council', 'Ferny Creek', 'Sports', 'Cricket']",,
1215,Yarra Ranges Shire Council,Gruyere Recreation Reserve,Gruyere,-37.730845,145.445084,Cricket,1.0,Synthetic Pitch,3. Average,"Male, Umpire/Officials",Killara Road Gruyere 3770,,"['Yarra Ranges Shire Council', 'Gruyere', 'Sports', 'Cricket']",,
1216,Yarra Ranges Shire Council,Hoddles Creek Community Reserve,Hoddles Creek,-37.826476,145.59628,Cricket,1.0,Synthetic Pitch,3. Average,"Male, Umpire/Officials",Gembrook Road Hoddles Creek 3139,,"['Yarra Ranges Shire Council', 'Hoddles Creek', 'Sports', 'Cricket']",,
1217,Yarra Ranges Shire Council,Keith Hume Fraser Reserve,Montrose,-37.803327,145.355379,Cricket,2.0,Synthetic Pitch,3. Average,"Male, Umpire/Officials",Swansea Road Montrose 3765,,"['Yarra Ranges Shire Council', 'Montrose', 'Sports', 'Cricket']",,
1218,Yarra Ranges Shire Council,Menzies Creek Reserve,Menzies Creek,-37.913167,145.393932,Cricket,1.0,Synthetic Pitch,2. Poor,"Male, Umpire/Officials",Black Hill Road Menzies Creek 3159,,"['Yarra Ranges Shire Council', 'Menzies Creek', 'Sports', 'Cricket']",,
1219,Yarra Ranges Shire Council,Millgrove Recreation ReserveÂ Â ,Millgrove,-37.753601,145.649617,Cricket,1.0,Synthetic Pitch,3. Average,"Male, Umpire/Officials",Moore Cresent Millgrove 3799,,"['Yarra Ranges Shire Council', 'Millgrove', 'Sports', 'Cricket']",,
1220,Yarra Ranges Shire Council,Sheep Station Creek Reserve,Yellingbo,-37.804472,145.524548,Cricket,1.0,Synthetic Pitch,2. Poor,,Healsville Koo Wee Rup Road Yellingbo 3139,,"['Yarra Ranges Shire Council', 'Yellingbo', 'Sports', 'Cricket']",,
1221,Yarra Ranges Shire Council,Bell Road Reserve,Seville,-37.779887,145.460181,Equestrian,,,,,Bell Road Seville 3139,,"['Yarra Ranges Shire Council', 'Seville', 'Sports']",,
1222,Yarra Ranges Shire Council,Don Road Sports Complex,Healesville,-37.696596,145.567064,Equestrian,,,,,Don Road Healesville 3777,,"['Yarra Ranges Shire Council', 'Healesville', 'Sports']",,
1223,Yarra Ranges Shire Council,Doongala Reserve,Montrose,-37.829614,145.334174,Equestrian,,,,,Sheffield South Road Montrose 3765,,"['Yarra Ranges Shire Council', 'Montrose', 'Sports']",,
1224,Yarra Ranges Shire Council,Graeme Collings Reserve,Mount Evelyn,-37.780524,145.404347,Equestrian,,,,,Bailey Road Mount Evelyn 3796,,"['Yarra Ranges Shire Council', 'Mount Evelyn', 'Sports']",,
1225,Yarra Ranges Shire Council,Lloyd Park,Belgrave South,-37.953508,145.348948,Equestrian,,,,,Belgrave Road Belgrave South 3160,,"['Yarra Ranges Shire Council', 'Belgrave South', 'Sports']",,
1226,Yarra Ranges Shire Council,Macclesfield Reserve,Macclesfield,-37.889023,145.491043,Equestrian,,,,,Kennedy Road Macclesfield 3782,,"['Yarra Ranges Shire Council', 'Macclesfield', 'Sports']",,
1227,Yarra Ranges Shire Council,Wards Road Reserve,Monbulk,-37.878431,145.4454,Equestrian,,,,,Wards Road Monbulk 3793,,"['Yarra Ranges Shire Council', 'Monbulk', 'Sports']",,
1228,Yarra Ranges Shire Council,Yarra Glen & Lilydale Hunt Club,Yering,-37.702394,145.38992200000000,Equestrian,,,,,28 Melba Highway Yering 3770,,"['Yarra Ranges Shire Council', 'Yering', 'Sports']",,
1229,Yarra Ranges Shire Council,Yarra Glen Club Grounds,Yarra Glen,-37.670129,145.354763,Equestrian,,,,,Yarraview Road Yarra Glen 3775,,"['Yarra Ranges Shire Council', 'Yarra Glen', 'Sports']",,
1230,Yarra Ranges Shire Council,Curves  Lilydale,Lilydale,-37.74833,145.349077,Fitness / Gymnasium Workouts,1.0,,,,36 Industrial Park Drive Lilydale 3140,,"['Yarra Ranges Shire Council', 'Lilydale', 'Sports', 'Gymnasium']",,
1231,Yarra Ranges Shire Council,Curves Kilsyth,Kilsyth,-37.802677,145.316372,Fitness / Gymnasium Workouts,1.0,,,,12/14 Collins Place Kilsyth 3137,,"['Yarra Ranges Shire Council', 'Kilsyth', 'Sports', 'Gymnasium']",,
1232,Yarra Ranges Shire Council,Female Gym Chirnside Park,Chirnside Park,-37.767272,145.30256600000000,Fitness / Gymnasium Workouts,1.0,,,,286 Maroondah Hwy Chirnside Park 3116,,"['Yarra Ranges Shire Council', 'Chirnside Park', 'Sports', 'Gymnasium']",,
1233,Yarra Ranges Shire Council,Fit Chirnside park,Chirnside Park,-37.766357,145.305667,Fitness / Gymnasium Workouts,1.0,,,,282 Maroondah Hwy Chirnside Park 3116,,"['Yarra Ranges Shire Council', 'Chirnside Park', 'Sports', 'Gymnasium']",,
1234,Yarra Ranges Shire Council,Fit Gym,Mount Evelyn,-37.786307,145.378829,Fitness / Gymnasium Workouts,1.0,,,,17 Wray Crescent Mount Evelyn 3796,,"['Yarra Ranges Shire Council', 'Mount Evelyn', 'Sports', 'Gymnasium']",,
1235,Yarra Ranges Shire Council,Goodlife Mooroolbark,Mooroolbark,-37.788068,145.31106100000000,Fitness / Gymnasium Workouts,1.0,,,,14 Manchester Road Mooroolbark 3138,,"['Yarra Ranges Shire Council', 'Mooroolbark', 'Sports', 'Gymnasium']",,
1236,Yarra Ranges Shire Council,Jetts Fitness Lilydale,Lilydale,-37.76004,145.34759500000000,Fitness / Gymnasium Workouts,1.0,,,,33 Hutchinson Street Lilydale 3140,,"['Yarra Ranges Shire Council', 'Lilydale', 'Sports', 'Gymnasium']",,
1237,Yarra Ranges Shire Council,Lilydale Squash & Fitness Centre,Lilydale,-37.75622,145.36107900000000,Fitness / Gymnasium Workouts,1.0,,,,446 Maroondah Hwy Lilydale 3140,,"['Yarra Ranges Shire Council', 'Lilydale', 'Sports', 'Gymnasium']",,
1238,Yarra Ranges Shire Council,Ranges Fitness,Upwey,-37.905213,145.332663,Fitness / Gymnasium Workouts,1.0,,,,82 Main Street Upwey 3158,,"['Yarra Ranges Shire Council', 'Upwey', 'Sports', 'Gymnasium']",,
1239,Yarra Ranges Shire Council,Yarra Centre,Yarra Junction,-37.780919,145.610871,Fitness / Gymnasium Workouts,,,4. Good,"Female, Male",2435 Warburton Highway Yarra Junction 3797,,"['Yarra Ranges Shire Council', 'Yarra Junction', 'Sports', 'Gymnasium']",,
1240,Yarra Ranges Shire Council,Chirnside Park Country Club,Chirnside Park,-37.750543,145.325894,Golf,1.0,18 Hole Course - Private,,,Kingswood Drive Chirnside Park 3116,,"['Yarra Ranges Shire Council', 'Chirnside Park', 'Sports', 'Golf']",,
1241,Yarra Ranges Shire Council,Croyden Golf Club,Croyden,-37.692348,145.35434900000000,Golf,1.0,18 Hole Course - Private,,,Victoria Road Croyden 3136,,"['Yarra Ranges Shire Council', 'Croyden', 'Sports', 'Golf']",,
1242,Yarra Ranges Shire Council,Healsville Golf Club,Healesville,-37.649925,145.502063,Golf,1.0,18 Hole Course - Public,,,Chum Creek Road Healesville 3777,,"['Yarra Ranges Shire Council', 'Healesville', 'Sports', 'Golf']",,
1243,Yarra Ranges Shire Council,Olinda Golf Course,Olinda,-37.853587,145.372309,Golf,1.0,18 Hole Course - Public,,,Olinda-Monbulk Road Olinda 3788,,"['Yarra Ranges Shire Council', 'Olinda', 'Sports', 'Golf']",,
1244,Yarra Ranges Shire Council,Warburton Golf Club,Warburton,-37.75275300000000,145.679246,Golf,1.0,9 Hole Course - Public,4. Good,"Female, Male",Dammans Road Warburton 3799,,"['Yarra Ranges Shire Council', 'Warburton', 'Sports', 'Golf']",,
1245,Yarra Ranges Shire Council,Glitz Gymnastics Academy,Lilydale,-37.749677,145.336582,Gymnastics,,,,,155 Beresford Road Lilydale 3140,,"['Yarra Ranges Shire Council', 'Lilydale', 'Sports', 'Gymnastics']",,
1246,Yarra Ranges Shire Council,Healsville Bowls Club,Healesville,-37.652936,145.514445,Lawn Bowls,2.0,Grass,2. Poor,"Female, Male",River Street Healesville 3777,,"['Yarra Ranges Shire Council', 'Healesville', 'Sports']",,
1247,Yarra Ranges Shire Council,Lilydale Bowls and Tennis Club,Lilydale,-37.760122,145.352205,Lawn Bowls,3.0,Grass,,,Andersons Road Lilydale 3140,,"['Yarra Ranges Shire Council', 'Lilydale', 'Sports']",,
1248,Yarra Ranges Shire Council,Yarra Glen Bowls Club,Yarra Glen,-37.654991,145.372197,Lawn Bowls,1.0,Grass,3. Average,"Female, Male",Helen Close Yarra Glen 3775,,"['Yarra Ranges Shire Council', 'Yarra Glen', 'Sports']",,
1249,Yarra Ranges Shire Council,McDermott Avenue Reserve,Mooroolbark,-37.776752,145.317568,Netball,10.0,Asphalt,2. Poor,"Female, Male",McDermott Avenue Mooroolbark 3138,,"['Yarra Ranges Shire Council', 'Mooroolbark', 'Sports', 'Netball']",,
1250,Yarra Ranges Shire Council,Upwey South Reserve,Upwey,-37.916485,145.32691600000000,Netball,3.0,Asphalt,2. Poor,,Brookside Street Upwey 3158,,"['Yarra Ranges Shire Council', 'Upwey', 'Sports', 'Netball']",,
1251,Yarra Ranges Shire Council,Lysterfield Sailing Club Inc,Lysterfield,-37.96544,145.300759,Sailing,,,,,Horswood Road Lysterfield 3156,,"['Yarra Ranges Shire Council', 'Lysterfield', 'Sports', 'Sailing']",,
1252,Yarra Ranges Shire Council,Mountain District Pistol Club,Dixons Creek,-37.589948,145.39625800000000,Shooting Sports,,,,,Pinnacle Lane Dixons Creek 3775,,"['Yarra Ranges Shire Council', 'Dixons Creek', 'Sports', 'Shooting']",,
1253,Yarra Ranges Shire Council,Yarra Pistol Club,Lysterfield,-37.943005,145.31501200000000,Shooting Sports,1.0,,,,Wellington Road Lysterfield 3156,,"['Yarra Ranges Shire Council', 'Lysterfield', 'Sports', 'Shooting']",,
1254,Yarra Ranges Shire Council,Lilydale Skate Park,Lilydale,-37.75902,145.3509,Skating,1.0,Cement (Hard Court),4. Good,,Hardy Street Lilydale 3140,,"['Yarra Ranges Shire Council', 'Lilydale', 'Sports', 'Skating']",,
1255,Yarra Ranges Shire Council,Mt Evelyn Skate Park,Mount Evelyn,-37.784312,145.379186,Skating,1.0,Concrete Pitch,4. Good,,Gardner Parade Mount Evelyn 3796,,"['Yarra Ranges Shire Council', 'Mount Evelyn', 'Sports', 'Skating']",,
1256,Yarra Ranges Shire Council,Upwey Skate Park,Upwey,-37.904331,145.33136400000000,Skating,1.0,,3. Average,,6 Mahony Street Upwey 3158,,"['Yarra Ranges Shire Council', 'Upwey', 'Sports', 'Skating']",,
1257,Yarra Ranges Shire Council,Yarra Glen Skate Park,Yarra Glen,-37.656029,145.371003,Skating,1.0,,3. Average,,14 Anzac Avenue Yarra Glen 3775,,"['Yarra Ranges Shire Council', 'Yarra Glen', 'Sports', 'Skating']",,
1258,Yarra Ranges Shire Council,Yarra Junction Skate Park,Yarra Junction,-37.775841,145.596972,Skating,1.0,Asphalt,4. Good,,2451 Warburton Hwy Yarra Junction 3797,,"['Yarra Ranges Shire Council', 'Yarra Junction', 'Sports', 'Skating']",,
1259,Yarra Ranges Shire Council,Esther Park,Mooroolbark,-37.779808,145.307144,Soccer,3.0,Grass,4. Good,"Male, Umpire/Officials",esther Cresent Mooroolbark 3138,,"['Yarra Ranges Shire Council', 'Mooroolbark', 'Sports', 'Soccer']",,
1260,Yarra Ranges Shire Council,Belgrave Swimming Pool & Tennis Club,Belgrave,-37.914008,145.353984,Swimming,1.0,"30m Pool - Outdoor, Toddlers Pool",4. Good,"Female, Male",69 Best Street Belgrave 3160,,"['Yarra Ranges Shire Council', 'Belgrave', 'Sports', 'Swimming']",,
1261,Yarra Ranges Shire Council,Kilsyth Centenary Swimming Centre,Kilsyth,-37.793184,145.310341,Swimming,6.0,"25m Pool - Outdoor, 50m Pool - Indoor, Program Pool, Recreation / Play Water Space, Toddlers Pool",3. Average,"Female, Male",Hawthory Road Kilsyth 3137,,"['Yarra Ranges Shire Council', 'Kilsyth', 'Sports', 'Swimming']",,
1262,Yarra Ranges Shire Council,Monbulk Aquatic Centre,Monbulk,-37.876857,145.399805,Swimming,1.0,"25m Pool - Indoor, Childrens Learning Pool",2. Poor,"Female, Male",26 Baynes Park Road Monbulk 3793,,"['Yarra Ranges Shire Council', 'Monbulk', 'Sports', 'Swimming']",,
1263,Yarra Ranges Shire Council,Olinda Outdoor Pool,Olinda,-37.855481,145.3737,Swimming,2.0,"25m Pool - Outdoor, Toddlers Pool",1. Very Poor,"Female, Male",81 Olinda-Monbulk Road Olinda 3788,,"['Yarra Ranges Shire Council', 'Olinda', 'Sports', 'Swimming']",,
1264,Yarra Ranges Shire Council,Minak Reserve,Selby,-37.91259,145.372781,Tennis (Outdoor),4.0,,3. Average,,Wombalana Road Selby 3159,,"['Yarra Ranges Shire Council', 'Selby', 'Sports', 'Tennis']",,
1265,Yarra Ranges Shire Council,Warburton Tennis Courts,Warburton,-37.753384,145.704016,Tennis (Outdoor),4.0,Artificial Turf,1. Very Poor,,Woods point Road Warburton 3799,,"['Yarra Ranges Shire Council', 'Warburton', 'Sports', 'Tennis']",,
1266,Yarra Ranges Shire Council,Yarra Glen Tennis Club,Yarra Glen,-37.655904,145.371196,Tennis (Outdoor),3.0,Hard Court,2. Poor,Female,Anzac Avenue Yarra Glen 3775,,"['Yarra Ranges Shire Council', 'Yarra Glen', 'Sports', 'Tennis']",,
1267,Whitehorse City Council,RHL Sparks Reserve,Box Hill,-37.828053,145.13546000000000,Archery,1.0,Outdoor Archery,3. Average,,Middlebourgh Road Box Hill 3129,,"['Whitehorse City Council', 'Box Hill', 'Sports']",,
1268,Whitehorse City Council,Bill Sewart Athletics Track,Burwood East,-37.856033,145.16110700000000,Athletics,1.0,Synthetic Running Track,4. Good,"Female, Male",Burwood Hwy Burwood East 3151,,"['Whitehorse City Council', 'Burwood East', 'Sports', 'Athletics']",,
1269,Whitehorse City Council,Hagenauer Reserve,Box Hill North,-37.809398,145.117303,Athletics,1.0,Synthetic Running Track,4. Good,"Female, Male",Barwon Street Box Hill North 3129,,"['Whitehorse City Council', 'Box Hill North', 'Sports', 'Athletics']",,
1270,Whitehorse City Council,Bennettswood Reserve,Bennettswood,-37.848417,145.11223700000000,Australian Rules Football,1.0,Grass,3. Average,"Umpire/Officials, Unisex",Holland Avenue Bennettswood 3125,,"['Whitehorse City Council', 'Bennettswood', 'Sports', 'Football']",,
1271,Whitehorse City Council,Box Hill City Oval,Box Hill,-37.818658,145.137222,Australian Rules Football,1.0,Grass,5. Very Good,"Umpire/Officials, Unisex",Davey Street Box Hill 3128,,"['Whitehorse City Council', 'Box Hill', 'Sports', 'Football']",,
1272,Whitehorse City Council,East Burwood Reserve,Burwood East,-37.856033,145.16110700000000,Australian Rules Football,2.0,Grass,4. Good,"Female, Male, Umpire/Officials",Burwood Hwy Burwood East 3151,,"['Whitehorse City Council', 'Burwood East', 'Sports', 'Football']",,
1273,Whitehorse City Council,Eley Park,Burwood East,-37.84630900000000,145.143022,Australian Rules Football,1.0,Grass,3. Average,"Female, Male",Eley Road Burwood East 3151,,"['Whitehorse City Council', 'Burwood East', 'Sports', 'Football']",,
1274,Whitehorse City Council,Elgar Park,Mont Albert North,-37.797649,145.117244,Australian Rules Football,4.0,Grass,3. Average,"Female, Male",Elgar Road Mont Albert North 3129,,"['Whitehorse City Council', 'Mont Albert North', 'Sports', 'Football']",,
1275,Whitehorse City Council,Forest Hill Reserve,Forest Hill,-37.83732,145.174264,Australian Rules Football,1.0,Grass,3. Average,"Female, Male",Fraser Place Forest Hill 3131,,"['Whitehorse City Council', 'Forest Hill', 'Sports', 'Football']",,
1276,Whitehorse City Council,Heatherdale Reserve,Mitcham,-37.827306,145.210295,Australian Rules Football,2.0,Grass,4. Good,"Female, Male",Panel Street Mitcham 3132,,"['Whitehorse City Council', 'Mitcham', 'Sports', 'Football']",,
1277,Whitehorse City Council,Kalang Park,Blackburn,-37.82765300000000,145.142048,Australian Rules Football,1.0,Grass,3. Average,"Female, Male",Pakenham Street Blackburn 3130,,"['Whitehorse City Council', 'Blackburn', 'Sports', 'Football']",,
1278,Whitehorse City Council,Koonung Reserve,Blackburn North,-37.809822,145.150049,Australian Rules Football,2.0,Grass,4. Good,"Female, Male",Heppner Street Blackburn North 3130,,"['Whitehorse City Council', 'Blackburn North', 'Sports', 'Football']",,
1279,Whitehorse City Council,Livingstone Reserve,Vermont South,-37.858779,145.14998900000000,Australian Rules Football,1.0,Grass,3. Average,"Female, Male, Umpire/Officials",Hanover Road Vermont South 3133,,"['Whitehorse City Council', 'Vermont South', 'Sports', 'Football']",,
1280,Whitehorse City Council,Morton Park,Blackburn,-37.821149,145.155017,Australian Rules Football,2.0,Grass,4. Good,"Female, Male, Umpire/Officials",Central Road Blackburn 3130,,"['Whitehorse City Council', 'Blackburn', 'Sports', 'Football']",,
1281,Whitehorse City Council,Simpson Park,Mitcham,-37.820942,145.201951,Australian Rules Football,1.0,Grass,4. Good,,Cochrane Street Mitcham 3132,,"['Whitehorse City Council', 'Mitcham', 'Sports', 'Football']",,
1282,Whitehorse City Council,Vermont Reserve,Vermont,-37.83752,145.19186300000000,Australian Rules Football,1.0,Grass,5. Very Good,"Female, Male, Umpire/Officials",Terrara Road Vermont 3133,,"['Whitehorse City Council', 'Vermont', 'Sports', 'Football']",,
1283,Whitehorse City Council,Walker Park,Nunawading,-37.81629,145.184729,Australian Rules Football,1.0,Grass,5. Very Good,"Female, Male, Umpire/Officials",Humphreys Avenue Nunawading 3131,,"['Whitehorse City Council', 'Nunawading', 'Sports', 'Football']",,
1284,Whitehorse City Council,Whitehorse Reserve,Box Hill,-37.820455,145.135795,Australian Rules Football,1.0,Grass,4. Good,"Female, Male",Sagoe Lane Box Hill 3128,,"['Whitehorse City Council', 'Box Hill', 'Sports', 'Football']",,
1285,Whitehorse City Council,Deakin YMCA,Burwood,-37.84695,145.116446,Badminton,2.0,Wooden Gymnasium,,,221 Burwood Hwy Burwood 3125,,"['Whitehorse City Council', 'Burwood', 'Sports', 'Badminton']",,
1286,Whitehorse City Council,Nunawading Community Centre,Nunawading,-37.819679,145.172854,Badminton,1.0,Wooden Gymnasium,2. Poor,"Female, Male",Oval Way Nunawading 3131,,"['Whitehorse City Council', 'Nunawading', 'Sports', 'Badminton']",,
1287,Whitehorse City Council,Sportlink,Vermont South,-37.853585,145.183854,Badminton,4.0,Wooden Gymnasium,5. Very Good,"Female, Male, Umpire/Officials",2 Hanover Road Vermont South 3133,,"['Whitehorse City Council', 'Vermont South', 'Sports', 'Badminton']",,
1288,Whitehorse City Council,Billabong Park,Vermont South,-37.857932,145.174201,Baseball,2.0,Grass,5. Very Good,"Umpire/Officials, Unisex","37, Tullimbar Circuit, Vermont South, City of Whitehorse, Victoria, 3133, Australia",,"['Whitehorse City Council', 'Vermont South', 'Sports', 'Baseball']",,
1289,Whitehorse City Council,Billabong Park,Vermont South,-37.857999,145.173614,Baseball,2.0,Grass,,,Weeden Drive Vermont South 3133,,"['Whitehorse City Council', 'Vermont South', 'Sports', 'Baseball']",,
1290,Whitehorse City Council,Aqualink Box Hill,Box Hill,-37.826162,145.117616,Basketball,3.0,Wooden Gymnasium,5. Very Good,"Female, Male",Surry Drive Box Hill 3128,,"['Whitehorse City Council', 'Box Hill', 'Sports', 'Basketball']",,
1291,Whitehorse City Council,Mont Albert Reserve,Mont Albert,-37.809366,145.11032,Basketball,2.0,Asphalt,,,Dunloe Avenue Mont Albert 3127,,"['Whitehorse City Council', 'Mont Albert', 'Sports', 'Basketball']",,
1292,Whitehorse City Council,Nunawading Basketball Centre,Burwood East,-37.854187,145.161755,Basketball,5.0,Wooden Gymnasium,3. Average,"Female, Male, Umpire/Officials",Burwood Hwy Burwood East 3151,,"['Whitehorse City Council', 'Burwood East', 'Sports', 'Basketball']",,
1293,Whitehorse City Council,Box Hill Skate & BMX Park,Box Hill,-37.830869,145.13503900000000,BMX,1.0,Dirt,4. Good,,Canterbury Road Box Hill 3128,,"['Whitehorse City Council', 'Box Hill', 'Sports']",,
